Comments,summary,sentiment_label
"I really liked the build first approach in this course, you basically build a mini project for every section you learn. Some sections are little outdated but Angela is adding constant updates.",you build a mini project for every section you learn . some sections are little outdated but Angela is adding constant updates to the course .,POSITIVE
"I am absolutely thrilled with this course! The course covers a wide range of web development topics, providing a comprehensive and up-to-date curriculum and Dr Angelas Yus teaching style really encourages you to push forward. Will definitely come back and review.",the course covers a wide range of web development topics . Dr Angelas Yus teaching style really encourages you to push forward .,POSITIVE
"This course definetily was the launchpad I needed to get into the development space. I learnt a lot which I'd like to believe not only  gave me the skills to create but also work my thinking muscles and prowess as a developer. Some part were difficult to maneuver, to be specific the last modules which were based on Blockchain and DApps, configuration of the projects locally was difficult and I had to do a lot of heavy lifting but that's about it when it comes to the downside. Overall, it is enough to equip you with a starter package.",this course definetily was the launchpad I needed to get into the development space . it gave me the skills to create but also worked my thinking muscles and prowess as a developer .,POSITIVE
"I love the course and how everything is explained by Angela but I've come to realize that the only thing that is updated is the year in the course title. A lot of what is taught isn't up to date, this course doesn't cover quite a few things. If you are looking for a more updated course I'd suggest the Odin project (free) or if you prefer video based content Algoexpert (paid).","the only thing that is updated is the year in the course title . a lot of what is taught isn't up to date, this course doesn't cover quite some things .",NEGATIVE
"I enjoyed the comprehensive nature of this course, which covered a wide array of topics encompassing both front-end and back-end development. It covered many state-of-the-art topics, including the Node.js, React, REASTful APIs, PostgreSQL, MongoDB, web3, and more.","the course covered front-end and back-end development . it covered many state-of-the-art topics including the node.js, React, REASTful APIs, postgreSQL, mongoDB, web3 and more .",POSITIVE
"I have went through this course thoroughly with having a full time job. I will say do not judge by public opinion that this course is outdated or anything, the theme always remain the same, if you are a beginner just try getting the core concept what she is sharing,and try to go with each content without comparing it with others, great things takes time and you cannot become a developer in a Month also no course is perfect, its your effort which will make you a developer.","if you are a beginner just try getting the core concept what she is sharing,and try to go with each content without comparing it with others, great things takes time and you cannot become a developer in a Month also no course is perfect .",NEGATIVE
"The course is good for people like me who don't have any previous experience with developing. It tackles a lot of basic concepts and serves as a principle for further development (even the more deprecated modules have something to teach you, if you are starting from zero). The entire Web3 section is unnecessary in my opinion, as it covers a whole different area not related to front-end or back-end, and could very well by a course on its own to those who are interested in this topic.",the course is good for people like me who don't have previous experience with developing . it tackles a lot of basic concepts and serves as a principle .,NEGATIVE
"Angela sounds like she is giving you great instruction but it was a big let down seeing a lot of this course not updated. The most very basic thing, which is var, should be changed to let or const variables. Also, she is quite spotty in her teaching. She glosses over things and misses the main point often especially in the last half of this course. It's almost as if she doesn't have a good grasp of the knowledge and how all these puzzle pieces fit. I was not motivated at all by the time I reached the half of the course because I couldn't understand her use of certain terms. My partner who is an automation engineer, who automates programming itself, has even told me the same. For example, when she is describing ECMA script versus the older technology when writing code require vs import for native modules from node. I gave two stars because although she does explain certain things wonderfully, she is a big let down when she is not updating, or explaining things that are really important at the moment and just glossing over them. This made me leave the course and have to start all over again. She tries to motivate you with these pep talk videos like how you should structure your learning, and how you should take notes, and how you should take breaks and not get overwhelmed like little youtube personal blogs with her on camera. However, in hindsight, this just feels like filler and she wastes crucial time to help you understand some concepts. Good luck and happy coding.",var should be changed to let or const variables . it's almost as if she doesn't have a good grasp of the knowledge and how all these puzzle pieces fit.,NEGATIVE
Every concept is explained very nicely and the teaching approach is what makes this course super amazing as it gives problem statement to solve every single concept. So far loving the tutorial.,"this course is super amazing as it gives problem statement to solve every concept . so far loving the tutorial as it provides problem statement . if you have any questions, please contact us for more information.",POSITIVE
This course is the best web development/programming course I've ever taken. Dr. Angela Yu is clear and concise in her explanations and there are tons of practice exercises. I would definitely recommend!,this course is the best web development/programming course I've ever taken . Dr. Angela Yu is clear and concise in her explanations .,POSITIVE
"It's great course. I have learnt a lot. Though some parts are a bit outdated that I had to search the web to make it work, but still a great course. Working your ass off by searching things is a part of learning. I definitely recommend this to anyone who wanted to learn about web dev.",it's a great course. I had to search the web to make it work . I recommend this to anyone who wanted to learn about web dev .,POSITIVE
"Thanks a lot Angela! I was a high school graduate without college degree with passion to learn coding, and this course helped me learn web development in 6 months. And after finishing this course, in less than 3 months I got my first job as a Full Stack web developer in a software house. Highly appreciate Angela for creating this amazing course, I highly recommend people who want to start their career as web developer to take this course. Thanks Angela for creating this amazing course.",this course helped me learn web development in 6 months . in less than 3 months I got my first job as a web developer in a software house .,POSITIVE
"I completed a web development bootcamp and it was an amazing experience. The instructors were knowledgeable, the curriculum was well-structured. Highly recommend it to anyone looking to get into web development.","I completed a web development bootcamp and it was an amazing experience . the instructors were knowledgeable, the curriculum was well-structured .",POSITIVE
"Great course for anyone looking to delve into web development and web 3.0. Angela not only guides you meticulously through the material but also shares valuable do's and don'ts of web development. The course is structured exceptionally well for beginners, and those already at a beginner level can use it to progress to an intermediate level in various technologies. The learning curve of the course is linear, but it becomes steeper after reaching 70%, particularly at the API section. The course is regularly updated, and while the content on authentication is excellent, breaking down the 30-minute videos into 2-3 shorter ones would enhance the learning experience. Web 3.0 isn't that much necessary it can become a separate course, more material on JavaScript, node, express and react will be more valuable to students.","the course is structured exceptionally well for beginners . it becomes steeper after reaching 70%, especially at the API section . the content on authentication is excellent, but breaking down the 30-minute videos into 2-3 shorter ones would enhance the learning experience .",POSITIVE
"After completing a web development course, my experience has been incredibly fulfilling and transformative. I gained a comprehensive understanding of web technologies and honed my skills in HTML, CSS, JavaScript, and other relevant frameworks. Armed with this knowledge, I embarked on various projects, creating dynamic and visually appealing websites from scratch. The course not only equipped me with technical expertise but also instilled in me a problem-solving mindset and an eye for design. I became adept at troubleshooting code, optimizing website performance, and ensuring a seamless user experience. With each project, my confidence grew, and I now feel confident in pursuing a career as a web developer. The course provided me with a solid foundation and ignited a passion for creating impactful online experiences. I am excited to continue my journey and explore new possibilities in the ever-evolving world of web development.",the course instilled in me a problem-solving mindset and an eye for design . the course provided me with a solid foundation and ignited a passion for creating impactful online experiences .,POSITIVE
"lots of content has outdated! and some function of sandbox.io can't be used, and the panel of it has totally changed. the Dev tools can't use, and some content is still 2017 or 2019, and you sell them in this year???","the dev tools can't be used, and some content is still 2017 or 2019 . the panel of it has totally changed .",NEGATIVE
"Amazing! Angela is an awesome speaker/teacher and the projects in the course are really interesting and realistic. Thank you, Angela and her team, for making my dream to become a developer possible! <3",angela is an awesome speaker/teacher and the projects in the course are really interesting and realistic . 3 2 4 .,POSITIVE
This course is incomplete and it cannot be followed from beginning to end. The database thought in this course is postgreSQL but the security and authentication section completely relies on mongoDB and the videos are on learning to use tools to interact with mongoDB entirely. The database section was updated from mongoDB to postgreSQL but the rest of the course wasn't making this course unusable,this course is incomplete and cannot be followed from beginning to end . the database section was updated from mongoDB to postgreSQL but the rest of the course wasn't unusable .,NEGATIVE
"She is very good at creating the course, but at this point of time (sept 2023) i am unable to follow her videos as she just went and deleted obsolete videos and didnt warn or do anything then she post a seperate link for old video, but after deleting the videos she didt post the new video in their place, there are few new videos , but you cant understand them if havenot studied the old videos , so basically if you wish to follow this couse you need to first study old course the start new couse , so basically this new course is forcefully inserted , angela you should have posted a new course with updated video and just sell it at a lowest price",angela you should have posted a new course with updated video and just sell it at a lowest price . if you want to follow this couse you need to first study old course the start new couse .,NEGATIVE
"Angela Yu's full-stack web development course has its pros and cons. The HTML and CSS sections stand out for their clear explanations and thorough content coverage. However, the JavaScript portion, particularly the function section, falls short. Understanding how to return values can be challenging, and the examples provided may not always be helpful or relevant, leading to confusion instead of clarity.",the HTML and CSS sections stand out for their clear explanations and thorough content coverage . but the JavaScript section falls short . the examples provided may not always be helpful or relevant .,NEGATIVE
"The course was a little bit old. Because without learning mongoose, we directly jumped into a section with mongoose. It was also tiresome to be forced to try the code in every single lecture. Sometimes we need some break. It kept hindering my motivation.","without learning mongoose, we directly jumped into a section with the code . sometimes we need some break. it kept hindering my motivation .",NEGATIVE
I'm actually a student of cs and i personally willed to enroll this course it's completely different than my thoughts means awesome level contents with projects and the instructor teaching method were really fantastic,i personally willed to enroll this course it's completely different than my thoughts means awesome level contents with projects and the instructor teaching method were really fantastic .,POSITIVE
"I recommend to take 100 days of code using Python then proceed to this bootcamp. Python will give you better understanding because of lesser code than Javascript. and also they have some same videos for basic HTML and some code, which is really good to think without looking at the solution. you can also see the difference when using else if statement.","Python will give you better understanding because of lesser code than Javascript . they have some same videos for basic HTML and some code, which is really good to think without looking at the solution.",POSITIVE
"Nice course but doesn’t cover js in deep , advice will be to the students to practise a lot js before going through back end section , rest the course is good enough as it directly do projects and I like this approach",nice course but doesn’t cover js in deep . advice will be to the students to practise a lot before going through back end section .,POSITIVE
"The entire Authentication and Security section uses MongoDB when we were taught PostgreSQL. This makes it very hard to fall along. The Web3 chapters seem out of place here. No take of error handling. It would've been nice to bring everything together and build an app using our entire stack of technologies (a PERN stack), I don't quite know how to use them together using proper convention and error handling on a server. Also it would've been nice to learn NGINX. I still have no idea how to spin up a website or where to start filling in the gaps in my knowledge, though I did learn a lot about the technologies used. Otherwise I like the use of many projects and I still learned a lot.",the entire Authentication and Security section uses MongoDB when we were taught PostgreSQL . it would've been nice to bring everything together and build an app .,NEGATIVE
"I made sure I understand every lesson before moving to the next, having to repeat many of them several times if I had to.  When I reached Lesson 146, I can't believe I couldn't understand what Angela was saying.  Looking at the comments section, everyone seems to be experiencing the same.  That lesson is poorly taught.","when I reached Lesson 146, I can't believe I couldn't understand what Angela was saying . that lesson is poorly taught .",NEGATIVE
Great course for just starting out. I used this course as a rubric so I could dive more deeply in my own personal studies (a skill you will need to have to make it in this field). I highly recommend this course as a your first foray into the subject material.,I used this course as a rubric so I could dive deeper in my own personal studies . this course is a great foray into the subject material .,POSITIVE
"the entire course is good but some modules updated and there related modules are not updated like postgresql is updated but that related authentication module is not updated it is having mongodb only still like this some modules even more is there so,while updating something plz update the related modules also.","the entire course is good but some modules updated and there related modules are not updated like postgresql is updated but that related module is not updated it is having mongodb only still like this some modules even more is there so,while updating something plz update the related modules also.",NEGATIVE
"Course is great and all explanations are clear. But there are several missed concepts. The React section don't cover everything like Router, useEffect and others. Even if they covered in Web3 section I think it would be better if it will be on React section too. In my opinion after this course not everyone will start carrer on Web3. It would be better if there are more big projects like building NFT Marketplace but combining React, PostgreSQL and NodeJS together. Some courses should be updated too but it is not big problem.","the React section don't cover everything like Router, useEffect and others . it would be better if there are more big projects like building NFT Marketplace . some courses should be updated too but it is not big problem .",NEGATIVE
Thanks Angela. You were good at explaining things in such a simple way. You are very specific and really make every point or brace you put in clear. Your challenges have helped me a lot. in just 64 hours you managed to give a huge base worth 500. Thank you very much!,in just 64 hours you managed to give a huge base worth 500 . thank you very much for letting me explain things in such a simple way .,POSITIVE
"I recently completed the web development bootcamp, and I can confidently say that it was an incredible learning experience. The curriculum was well-structured and covered all the essential topics in web development. The instructors were highly knowledgeable and passionate about teaching, which made the learning process engaging and enjoyable. Overall, the web development bootcamp exceeded my expectations. It provided me with a strong foundation in web development and equipped me with the skills necessary to pursue a career in this field. I highly recommend this bootcamp to anyone looking to learn web development in a supportive and comprehensive environment.",the bootcamp was well-structured and covered all the essential topics in web development . the instructors were highly knowledgeable and passionate about teaching .,POSITIVE
"Excelente curso. muy completo. Lo que mas rescato son los recursos que deja la profesora para enfocarse en el tema que estás aprendiendo (te ofrece el material inicial para que practiques lo recién aprendido). Para las personas que no se manejan  tan bien con el ingles, los subtitulos son muy buenos ya que la la profe modula bien y no acelera al hablar, aunque hay ciertas partes donde no se traduce tan bien y se desincroniza con el video, pero son pocas. Por ultimo, el modulo de autenticación no está actualizado ya que lo enseña con la base de datos ""mongodb"" y en el curso enseña postgres, además el modulo de React esta un poco desactualizado, puede que tengas problemas al usarlo en tu entorno local (recomiendo que el modulo React lo practiquen en sandbox),  esos puntos fueron los negativos.","los subtitulos son muy buenos ya que la profe modula no se traduce tan bien y no acelera al hablar . el modulo de React esta un poco desactualizado, puede que tengas problemas al usarlo en tu entorno local.",NEGATIVE
"I enjoyed the course, it was funny, simple, and complete. However, in some videos, explanations were unclear, and I didn't understand the choice of teaching us Motoko and ICP instead of solidity or Ethereum.","I enjoyed the course, it was funny, simple, and complete . I didn't understand the choice of teaching us Motoko and ICP instead of solidity .",NEGATIVE
Great course to start off my learning as a web developer. Angela is a great instructor and explains each section clearly. Some sections were out of date when I started but a lot has been recently updated and figuring out how to solve the issues on your own is part of the fun.,great course to start off my learning as a web developer . some sections were out of date when I started but a lot has been recently updated .,POSITIVE
Great experience while reaching the end of this course. This will be great for those who don't know anything about web development and want to learn web development. I won't be able to explain how many headaches you can skip as a beginner while taking this course.,this course will be great for those who don't know anything about web development . I won't be able to explain how many headaches you can skip as a beginner .,POSITIVE
"Covers the basics well enough, the html,css, basic javascript. Course was not up to date enough. Could clearly see the staleness when it came to the later sections about the databases, authentication, and react.","course was not up to date enough. Could clearly see the staleness when it came to the later sections about the databases, authentication, and react .",NEGATIVE
"Some things like var don’t work in chrome anymore, so there are parts of the course that should be updated. She’s already added a lot of new content, but I wonder how often people get stuck. Still the best teacher around.","some things like var don’t work in chrome anymore, so there are parts of the course that should be updated . she’s already added a lot of new content .",POSITIVE
"Practical Project based learning is the best. I really get to know what , why and how did a execute a particular thing which is awesome for me. Thanks for the Guidance. Just a tip that course could have covered the some more theoretical concepts that were missed.","I really get to know what , why and how did a execute a particular thing which is awesome for me . thanks for the Guidance .",POSITIVE
"The front end is explained well, Backend is a total mess with lots of errors in lesson codes. No proper updates to videos. It should not be marketed as a full stack if it is not updated with error-free codes.  Remember folks you get what you pay but it is a complete waste of time going through the MongoDB chapter. Everything just falling apart.",backend is a total mess with lots of errors in lesson codes . it should not be marketed as a full stack if it is not updated with error-free code .,NEGATIVE
